"GDPR","GDPR"
"Anonymisation Notifications","Anonymisation Notifications"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Account Deletion Notifications","Account Deletion Notifications"
"Deny Notification Email Sender for Сustomers","Deny Notification Email Sender for Сustomers"
"Deny Notification Email Template for Сustomers","Deny Notification Email Template for Сustomers"
"Consent Request Notifications","Consent Request Notifications"
"Privacy Checkbox","Privacy Checkbox"
"Display Only for <a href=\"https://en.wikipedia.org/wiki/European_Economic_Area\" target=\"_blank\">EEA</a> Countries","Display Only for <a href=\"https://en.wikipedia.org/wiki/European_Economic_Area\" target=\"_blank\">EEA</a> Countries"
"Consent Text","Consent Text"
"Display at Registration","Display at Registration"
"Display at Checkout","Display at Checkout"
"Action Log","Action Log"
"Customers With Consent","Customers With Consent"
"Customers Without Consent","Customers Without Consent"
"Customers Consents Email Queue","Customers Consents Email Queue"
"Delete Requests","Delete Requests"
"Privacy Policy","Privacy Policy"
"Amasty GDPR Anonymisation","Amasty GDPR Anonymisation"
"Amasty GDPR Consent Request","Amasty GDPR Consent Request"
"Amasty GDPR Deny Deletion","Amasty GDPR Deny Deletion"
"Use Default Value","Use Default Value"
"I have read and accept","I have read and accept"
"Accept privacy policy","Accept privacy policy"
"Anonymisation was successful","Anonymisation was successful"
"An error has occurred","An error has occurred"
"Privacy Settings","Privacy Settings"
"Thank you, your account delete request was recorded.","Thank you, your account delete request was recorded."
"Policies","Policies"
"Manage Policies","Manage Policies"
"Please specify export data type","Please specify export data type"
"Edit Privacy Policy","Edit Privacy Policy"
"This policy no longer exists.","This policy no longer exists."
"The policy has been saved.","The policy has been saved."
"Policies deleted.","Policies deleted."
"Customers were successfully added to email queue","Customers were successfully added to email queue"
"Customer","Customer"
"Manage Requests","Manage Requests"
"%d customer(s) has been successfully deleted","%d customer(s) has been successfully deleted"
"An error has occurred: %s","An error has occurred: %s"
"Please select at least one request","Please select at least one request"
"%s email(s) have been sent.","%s email(s) have been sent."
"Thank you for your cooperation. Your consent was recorded.","Thank you for your cooperation. Your consent was recorded."
"Something went wrong.","Something went wrong."
"Customer ID","Customer ID"
"IP Address","IP Address"
"Date","Date"
"Action","Action"
"Date Submitted","Date Submitted"
"Name","Name"
"Email","Email"
"Completed Orders Qty","Completed Orders Qty"
"Pending Orders Qty","Pending Orders Qty"
"Approve Delete Request","Approve Delete Request"
"Are you sure?","Are you sure?"
"Deny Delete Request","Deny Delete Request"
"Send","Send"
"Send Email","Send Email"
"Email Details","Email Details"
"Comment","Comment"
"Date Consented","Date Consented"
"Policy Version","Policy Version"
"CSV","CSV"
"XML","XML"
"Email Consent Request","Email Consent Request"
"Country","Country"
"Status","Status"
"ID","ID"
"Date Created","Date Created"
"Date Last Edited","Date Last Edited"
"Last Edited By","Last Edited By"
"Delete","Delete"
"Privacy Policy v.","Privacy Policy v."
"Main Info","Main Info"
"Policy Status","Policy Status"
"Policy Content","Policy Content"
"Policy Information","Policy Information"
"Download personal data","Download personal data"
"Here you can download a copy of your personal data which we store for your account in CSV format.","Here you can download a copy of your personal data which we store for your account in CSV format."
"Download","Download"
"Anonymise personal data","Anonymise personal data"
"I agree and I want to proceed","I agree and I want to proceed"
"Proceed","Proceed"
"Delete account","Delete account"
"I understand and I want to delete my account","I understand and I want to delete my account"
"Submit request","Submit request"
"Pending","Pending"
"Success","Success"
"Fail","Fail"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Anonymising your personal data means that it will be replaced with non-personal anonymous information and before that you will get your new login and password to your e-mail address. After this process, your e-mail address and all other personal data will be removed from the website.","Anonymising your personal data means that it will be replaced with non-personal anonymous information and before that you will get your new login and password to your e-mail address. After this process, your e-mail address and all other personal data will be removed from the website."
"Request to remove your account, together with all your personal data, will be processed by our staff.<br>Deleting your account will remove all the purchase history, discounts, orders, invoices and all other information that might be related to your account or your purchases.<br>All your orders and similar information will be lost.<br>You will not be able to restore access to your account after we approve your removal request.","Request to remove your account, together with all your personal data, will be processed by our staff.<br>Deleting your account will remove all the purchase history, discounts, orders, invoices and all other information that might be related to your account or your purchases.<br>All your orders and similar information will be lost.<br>You will not be able to restore access to your account after we approve your removal request."
"You can see queue of sending e-mail consents <a href=\"%s\" target=\"_blank\">here</a>","You can see queue of sending e-mail consents <a href=\"%s\" target=\"_blank\">here</a>"
"Cookie Policy","Cookie Policy"
"Enable Cookie Policy Bar","Enable Cookie Policy Bar"
"Cookie Policy Text","Cookie Policy Text"
"Notify Administrator Each Time User Asks a Deletion","Notify Administrator Each Time User Asks a Deletion"
"Send Email to","Send Email to"
"Email Template for Administrator","Email Template for Administrator"
"Amasty GDPR Deletion for Administrator","Amasty GDPR Deletion for Administrator"
